Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
1814,2021-02-15 16:30:03 UTC,M,[1-2],BIR,1,AWB,U,0,2,1,4,3,4,4,4,4,4,1,1,2,3,2,1,2,2,0,0,
543,2021-02-11 21:27:21 UTC,F,[1-2],BIR,1,AWB,U,1,3,1,1,2,5,5,5,5,4,3,4,5,1,3,2,5,3,1,3,
2365,2021-03-14 11:27:56 UTC,F,[2-10],BIR,1,SH,U,1,3,1,3,1,5,4,5,3,3,3,3,3,4,3,4,1,2,0,0,
578,2021-02-18 09:56:20 UTC,F,[2-10],BIR,3,IH,R,2,3,1,4,3,4,5,5,5,2,2,1,1,1,1,4,5,3,1,2,
2596,2021-02-18 10:41:58 UTC,F,[1-2],BIR,1,AWB,PU,2,2,3,4,3,5,5,5,3,2,1,2,4,3,4,5,2,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 24 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
915,2021-02-16 00:47:40 UTC,M,<1,BIR,1,AWB,U,0,2,1,4,1,5,5,5,5,5,2,1,1,1,2,4,4,3,0,1,
15,2021-02-13 13:41:04 UTC,M,[2-10],BIR,1,AWB,PU,0,2,2,2,3,4,4,4,4,4,2,1,2,2,2,4,4,DK,0,0,
1643,2021-02-15 20:44:04 UTC,M,[2-10],BIR,1,SH,R,2,3,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 06 MINUTES 18 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1604,2021-02-11 21:07:26 UTC,M,[2-10],BIR,1,IH,R,1,2,2,4,2,4,4,3,3,3,1,4,2,1,1,1,3,2,2,4,
1314,2021-03-13 15:02:36 UTC,M,[2-10],BIR,5,IH,PU,2,1,3,5,1,4,3,3,4,5,3,1,1,1,1,5,3,3,0,0,
