Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
1814,176,2,2,1,0,1,2,0,2,1,4,3,4,4,4,4,4,1,1,2,3,2,1,2,1,0,0,291
543,87,1,2,1,0,1,2,1,3,1,1,2,5,5,5,5,4,3,4,5,1,3,2,5,2,1,3,291
2365,1433,1,3,1,0,3,2,1,3,1,3,1,5,4,5,3,3,3,3,3,4,3,4,1,1,0,0,291
578,369,1,3,1,2,2,1,2,3,1,4,3,4,5,5,5,2,2,1,1,1,1,4,5,2,1,2,291
2596,376,1,2,1,0,1,0,2,2,3,4,3,5,5,5,3,2,1,2,4,3,4,5,2,0,0,0,150
915,208,2,0,1,0,1,2,0,2,1,4,1,5,5,5,5,5,2,1,1,1,2,4,4,2,0,1,291
15,149,2,3,1,0,1,0,0,2,2,2,3,4,4,4,4,4,2,1,2,2,2,4,4,3,0,0,291
1643,199,2,3,1,0,3,1,2,3,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,242
1604,78,2,3,1,0,2,1,1,2,2,4,2,4,4,3,3,3,1,4,2,1,1,1,3,1,2,4,291
1314,1019,2,3,1,4,2,0,2,1,3,5,1,4,3,3,4,5,3,1,1,1,1,5,3,2,0,0,291
2380,1488,2,0,1,0,3,1,0,2,2,3,1,4,4,3,4,3,1,1,1,1,1,1,4,1,0,0,171
2591,363,1,3,1,0,1,0,1,2,2,4,3,5,4,5,5,4,1,1,1,1,4,3,5,0,0,0,150
1902,420,2,3,1,0,3,0,0,2,1,2,2,5,5,5,4,5,2,1,4,2,3,4,3,1,0,1,291
1900,414,2,3,1,2,3,1,2,2,3,4,2,3,4,4,5,4,1,1,4,2,3,4,4,1,0,0,291
868,81,1,2,1,1,2,1,1,2,1,4,1,4,4,4,3,4,1,1,1,1,1,4,3,2,0,0,291
1774,77,1,2,1,2,1,0,2,2,2,2,2,5,5,5,2,3,2,4,3,2,4,4,1,1,0,0,291
586,424,1,2,1,5,3,2,2,2,1,3,1,4,4,5,4,5,2,4,2,2,4,3,2,2,1,1,291
1919,447,1,2,1,1,2,1,2,3,1,3,1,4,3,4,4,4,1,1,1,1,1,3,3,1,0,0,291
2582,344,2,3,1,2,1,2,0,2,1,4,1,5,3,4,5,5,2,1,3,1,2,5,5,0,0,0,291
1916,441,1,0,1,3,3,0,0,2,1,5,1,4,2,4,5,5,1,1,1,1,1,4,3,1,0,0,291
909,197,2,2,1,0,1,0,0,3,2,5,5,4,3,4,5,3,1,1,3,1,2,3,5,2,0,0,291
870,88,2,2,1,0,3,0,0,2,3,4,3,4,4,4,4,4,3,2,3,3,3,4,5,2,0,0,62
2775,807,1,2,1,0,1,1,1,2,1,2,3,3,2,2,4,5,3,1,3,3,1,4,4,0,0,0,291
2526,177,2,3,1,5,2,1,0,2,4,3,2,5,3,5,4,3,2,2,3,1,1,4,2,0,0,0,291
1903,421,1,3,1,0,1,2,1,1,1,5,1,4,5,3,4,5,2,1,4,1,1,5,5,1,0,0,291
26,204,1,3,1,1,1,2,0,2,3,4,3,5,5,3,5,2,1,1,4,4,1,4,4,3,0,0,291
1674,665,1,3,1,1,1,0,2,3,5,4,4,5,4,4,5,1,1,1,5,4,2,4,3,1,1,1,291
874,99,1,1,1,1,3,1,1,2,4,4,4,5,3,3,5,4,1,1,1,4,2,5,5,2,0,1,291
1844,242,1,3,1,2,2,1,0,3,4,5,4,3,4,3,5,4,3,1,2,4,4,5,2,1,0,0,291
550,117,1,3,1,0,3,2,1,2,4,4,5,5,4,4,5,2,3,2,2,4,1,3,3,2,1,0,88
2597,379,1,3,1,1,0,2,0,1,4,5,4,4,5,4,5,2,4,1,2,4,1,5,3,0,0,0,291
900,178,2,1,1,1,1,2,1,3,4,5,2,2,4,4,5,5,4,1,1,1,3,5,4,2,0,0,291
1644,257,2,1,1,0,2,1,2,2,3,4,2,4,4,4,4,2,3,3,3,4,3,3,3,1,1,2,291
2493,109,1,3,1,0,3,0,1,3,1,3,3,5,5,4,5,5,1,3,5,1,4,4,4,0,0,0,291
905,187,1,3,1,2,2,1,0,3,4,4,4,5,5,5,5,5,1,4,5,2,4,5,3,2,0,0,291
1101,648,1,2,1,1,2,1,1,3,4,3,3,4,5,5,5,3,2,2,2,1,3,4,5,2,0,0,278
46,378,1,2,1,5,2,0,0,2,3,4,1,4,4,4,2,2,2,1,2,2,2,4,3,3,0,0,291
57,430,2,3,1,0,1,2,0,3,1,1,2,4,3,3,4,4,2,2,3,2,3,4,4,3,0,0,291
9,86,1,2,1,0,0,2,0,2,2,2,1,4,3,4,5,4,1,1,3,2,2,4,3,3,0,0,291
2444,437,1,3,1,3,3,1,0,2,2,5,2,4,3,1,4,3,4,1,1,1,1,3,2,0,1,1,291
2567,316,2,0,1,0,1,0,1,2,1,4,3,4,3,4,4,5,2,5,2,3,3,4,4,0,0,0,151
878,114,2,3,1,0,2,1,0,2,2,5,1,5,4,4,5,3,5,1,1,4,1,5,4,2,0,0,291
1783,97,1,0,1,0,0,2,0,2,3,4,3,5,5,5,5,3,3,2,3,3,2,2,3,1,0,0,291
48,390,1,3,1,0,0,2,0,2,4,4,5,5,2,2,5,4,2,1,1,3,5,1,5,3,0,0,291
1802,157,2,3,1,1,3,0,1,2,2,5,3,5,4,5,5,5,1,1,2,2,2,4,4,1,0,1,291
934,238,1,3,1,0,3,2,0,2,2,1,3,4,4,4,4,4,4,1,1,1,1,3,3,2,0,0,291
2531,195,2,3,1,0,1,0,0,3,2,4,1,5,1,3,5,4,1,1,1,4,4,4,4,0,0,0,291
1825,193,1,2,1,0,1,2,1,3,1,4,2,3,2,2,5,5,1,1,1,1,1,4,3,1,0,0,291
