Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
1,2021-02-09 16:36:39 UTC,F,<1,BIR,3,ANB,U,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,DK,4,4,
10,2021-02-12 18:25:58 UTC,F,<1,BIR,1,AWB,U,0,2,1,1,3,4,4,5,5,5,1,2,2,3,4,4,3,DK,0,0,
100,2021-03-06 22:04:33 UTC,F,[2-10],EUR,4,SH,U,0,2,4,4,3,5,5,4,5,4,2,1,1,1,2,4,2,DK,0,0,"She doesn't hunt because she doesn't go out, if she went out, I know she would hunt because she lived alone outside for at least a year"
1000,2021-02-18 16:10:11 UTC,F,<1,EUR,1,SH,R,2,2,3,2,2,4,3,5,4,4,3,4,3,3,3,4,4,3,0,0,She comes when I call her
1001,2021-02-18 18:00:50 UTC,F,[1-2],BIR,2,IH,R,1,2,1,4,1,5,3,4,4,2,1,2,4,1,4,3,3,3,0,0,
1002,2021-02-18 18:55:18 UTC,F,>10,BIR,2,IH,R,1,3,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,3,0,0,
1003,2021-02-18 18:57:15 UTC,M,<1,NR,2,IH,R,3,2,2,2,1,4,4,4,4,4,3,2,4,2,4,4,4,3,0,4,
1004,2021-02-18 20:10:02 UTC,F,[2-10],MCO,5+,IH,R,0,3,4,4,2,5,2,3,5,2,2,2,1,2,1,1,1,3,0,0,My cats have access to an outdoor enclosure
1005,2021-02-18 20:22:16 UTC,M,[2-10],MCO,1,IH,R,0,2,2,4,1,4,4,4,4,4,2,1,1,1,1,3,1,3,0,0,It has access to the outside only on a leash during sunny days
1006,2021-02-18 20:39:20 UTC,M,<1,BEN,2,IH,R,0,3,3,5,1,5,5,5,5,4,3,1,1,1,1,3,1,3,0,0,
1007,2021-02-18 20:44:41 UTC,F,<1,MCO,5+,IH,R,0,2,2,5,1,4,3,4,5,5,3,1,1,1,1,3,3,3,0,0,
1008,2021-02-18 21:08:33 UTC,F,[2-10],BEN,3,IH,R,1,2,5,4,5,5,5,5,4,1,5,1,1,3,1,4,4,3,0,0,
1009,2021-02-18 21:19:20 UTC,M,[2-10],MCO,2,SH,PU,0,2,4,4,4,5,5,5,5,4,2,1,1,1,1,4,1,3,0,0,Only comes out in cattery and does not seek to hunt birds that come inside
101,2021-03-06 22:38:11 UTC,F,[2-10],EUR,1,ANB,R,0,2,1,3,1,4,4,4,4,4,4,3,2,1,1,1,3,DK,0,0,
1010,2021-02-18 23:05:07 UTC,M,[2-10],BIR,2,SH,R,2,2,4,4,4,5,4,5,5,5,2,1,3,5,4,5,4,3,0,1,A pot of glue
1011,2021-02-19 00:19:56 UTC,M,>10,DK,2,IH,R,2,2,4,5,3,5,5,4,5,5,5,1,3,3,1,5,5,3,0,0,
1012,2021-02-19 05:00:37 UTC,F,[2-10],MCO,5+,IH,PU,0,2,1,4,1,4,5,5,4,4,5,3,5,4,5,5,3,3,0,0,
1013,2021-02-19 06:44:18 UTC,F,[2-10],BEN,1,IH,R,3,2,4,2,1,5,5,5,5,2,1,4,5,4,3,4,4,3,0,4,
1014,2021-02-19 13:59:22 UTC,F,[2-10],PER,2,AWB,U,0,1,2,4,2,4,4,4,3,3,3,1,1,1,3,4,3,3,0,0,
1015,2021-02-19 14:01:00 UTC,M,[2-10],PER,2,AWB,U,0,1,4,3,4,4,4,2,4,1,2,1,1,1,1,3,4,3,0,0,
1016,2021-02-19 15:01:58 UTC,M,[1-2],BEN,1,IH,PU,1,2,2,1,3,5,5,5,5,4,5,1,3,3,5,2,5,3,0,0,
1017,2021-02-19 17:57:12 UTC,M,<1,BEN,1,AWB,PU,0,2,1,2,1,4,4,4,4,4,1,3,3,4,4,4,4,3,0,1,He loves the water and brings his toys
1018,2021-02-20 08:36:39 UTC,M,>10,SPH,2,IH,R,0,2,3,4,2,4,4,4,4,3,4,1,1,1,1,3,3,3,0,0,
1019,2021-03-06 14:50:28 UTC,M,<1,BRI,3,IH,R,0,3,1,1,1,5,3,2,2,3,2,4,3,1,3,5,3,3,0,0,
102,2021-03-06 23:45:07 UTC,F,[2-10],NR,1,ANB,U,0,2,1,2,3,4,3,4,4,4,1,1,1,3,1,1,1,DK,0,0,Very glue jar
1020,2021-03-06 14:55:33 UTC,M,>10,BRI,2,SH,PU,2,2,2,5,2,5,2,3,5,4,1,1,3,2,1,4,2,3,0,1,
1021,2021-03-06 15:05:50 UTC,M,[2-10],BRI,3,IH,R,0,2,2,5,1,5,5,5,5,5,1,1,1,1,1,5,2,3,0,0,
1022,2021-03-06 15:09:04 UTC,M,[2-10],Other,1,SH,R,0,3,4,5,3,4,5,4,5,4,4,1,3,2,2,4,3,3,0,0,"Siberian cat, not used to going out"
1023,2021-03-06 15:22:04 UTC,M,[2-10],BRI,1,IH,PU,0,2,3,5,2,5,4,4,4,4,3,1,3,1,3,4,2,3,0,0,
1024,2021-03-06 16:08:58 UTC,F,[2-10],BRI,1,ANB,U,2,3,3,2,3,5,3,3,4,2,1,1,3,3,2,3,2,3,0,0,Sleep! She sleeps at least 20 hours a day...
1025,2021-03-06 16:09:48 UTC,F,[2-10],EUR,1,IH,PU,0,2,5,5,3,5,3,3,5,2,4,1,1,3,3,3,5,3,0,0,"It's been 6 weeks since I adopted her, she came out of a human who e-navigated more than 20 and she didn't take care of herself anymore. It was the SPA that brought them to safety. So that's why I can't answer some questions."
1026,2021-03-06 16:15:15 UTC,F,<1,BRI,1,IH,R,0,2,1,2,3,2,2,4,4,4,5,2,4,3,4,2,2,3,0,0,"British longhair, don't go out at all."
1027,2021-03-06 16:22:08 UTC,F,[2-10],BRI,2,IH,PU,0,2,3,5,4,5,5,5,5,4,4,1,4,4,1,4,1,3,0,0,
1028,2021-03-06 16:27:52 UTC,F,[2-10],NR,3,IH,R,2,3,1,2,2,4,4,3,4,1,4,4,4,4,4,4,1,3,0,3,
1029,2021-03-06 16:37:00 UTC,M,<1,NR,3,IH,R,0,3,3,3,3,2,2,2,2,1,3,1,3,3,3,2,2,3,0,0,One of my 3 cats comes from the outside but the 3 do not come out because not yet castrated and do not want them to reproduce.
103,2021-03-07 00:34:46 UTC,M,<1,CHA,1,SH,U,0,2,5,5,3,4,5,3,4,1,4,3,4,3,4,4,3,DK,0,0,
1030,2021-03-06 16:40:02 UTC,M,[2-10],BRI,2,IH,R,1,2,1,4,4,3,4,3,5,5,1,1,1,1,1,5,5,3,0,0,
1031,2021-03-06 16:53:33 UTC,F,[2-10],BRI,1,SH,PU,0,2,2,4,3,4,4,4,4,1,2,1,3,3,2,4,4,3,0,0,She loves catching flies and spiders
1032,2021-03-06 16:58:41 UTC,F,<1,BRI,1,IH,R,0,2,3,3,4,4,2,4,5,4,3,2,3,3,3,3,4,3,0,0,
1033,2021-03-06 17:17:10 UTC,M,<1,BRI,2,IH,PU,0,3,1,4,3,2,2,2,2,4,1,3,3,2,3,3,3,3,0,0,At the moment it is not out
1034,2021-03-06 17:17:12 UTC,F,[2-10],BRI,1,IH,R,0,2,1,4,1,3,4,3,4,4,2,1,1,3,2,4,4,3,0,0,
1035,2021-03-06 17:22:00 UTC,M,[2-10],EUR,1,ANB,R,0,2,5,2,3,4,5,4,4,2,4,4,3,3,4,2,4,3,0,0,
1036,2021-03-06 17:23:19 UTC,F,[1-2],PER,1,SH,R,0,2,2,4,4,5,3,3,5,5,3,1,3,2,3,2,3,3,0,0,
1037,2021-03-06 17:23:35 UTC,M,<1,BRI,1,IH,U,1,2,2,4,1,4,4,4,4,2,4,2,2,1,1,3,4,3,0,0,
1038,2021-03-06 17:26:20 UTC,M,[2-10],EUR,1,ANB,U,0,3,4,4,3,5,5,5,5,4,3,2,4,3,3,3,3,3,0,0,
1039,2021-03-06 17:31:52 UTC,F,[2-10],NR,1,SH,R,0,1,3,3,3,4,4,4,3,1,4,4,4,1,4,4,4,3,0,0,
104,2021-03-07 01:28:28 UTC,F,[1-2],EUR,1,AWB,U,0,1,3,3,2,4,4,4,3,4,5,1,4,5,3,4,5,DK,0,0,
